venue_category_group,MODE,venue_count,median_nearest_stop_distance_m,share_within_400m_pt,late_night_share,share_within_400m_pct
BYO permit,METRO BUS,400,137.15518646294964,0.855,0.0,85.5
BYO permit,METRO TRAIN,36,98.19154807015097,0.9444444444444444,0.0,94.44444444444444
BYO permit,METRO TRAM,90,77.96594286383345,0.9777777777777777,0.0,97.77777777777777
BYO permit,REGIONAL BUS,143,594.6418756354353,0.42657342657342656,0.0,42.65734265734265
BYO permit,REGIONAL COACH,59,333.4734926873286,0.5254237288135594,0.0,52.54237288135594
BYO permit,REGIONAL TRAIN,8,233.87645363008068,0.7,0.0,70.0
BYO permit,SKYBUS,3,116.4002186829057,1.0,0.0,100.0
Club,INTERSTATE TRAIN,2,1009.436052678976,0.5,0.0,50.0
Club,METRO BUS,820,246.9146586772913,0.7134146341463414,0.0,71.34146341463415
Club,METRO TRAIN,26,222.62164304668107,0.9230769230769231,0.0,92.3076923076923
Club,METRO TRAM,67,114.3254980310541,0.8955223880597015,0.0,89.55223880597015
Club,REGIONAL BUS,388,467.91991760889937,0.4536082474226804,0.0,45.36082474226804
Club,REGIONAL COACH,254,813.869805600541,0.26953125,0.0,26.953125
Club,REGIONAL TRAIN,16,566.3521316145344,0.43478260869565216,0.0,43.47826086956522
Club,SKYBUS,1,94.84630704488394,1.0,0.0,100.0
General and late-night general,INTERSTATE TRAIN,2,360.58878922701297,1.0,1.0,100.0
General and late-night general,METRO BUS,1011,120.50301518856043,0.8626482213438735,0.6936758893280632,86.26482213438736
General and late-night general,METRO TRAIN,111,117.81504811192588,0.9553571428571429,0.7232142857142857,95.53571428571429
General and late-night general,METRO TRAM,515,88.46306387424086,0.9864077669902913,0.7242718446601941,98.64077669902913
General and late-night general,REGIONAL BUS,600,202.6115165719296,0.74,0.66,74.0
General and late-night general,REGIONAL COACH,449,226.83038956975804,0.6895787139689579,0.5986696230598669,68.95787139689578
General and late-night general,REGIONAL TRAIN,43,199.3517057992493,0.9056603773584906,0.7358490566037735,90.56603773584906
General and late-night general,SKYBUS,10,194.19224249812845,0.8,0.8,80.0
Limited licence,INTERSTATE TRAIN,6,414.1888182644252,0.45454545454545453,0.0,45.45454545454545
Limited licence,METRO BUS,2329,222.42302215312742,0.7237237237237237,0.0,72.37237237237237
Limited licence,METRO TRAIN,124,129.3866053527815,0.904,0.0,90.4
Limited licence,METRO TRAM,450,110.02554730061546,0.9444444444444444,0.0,94.44444444444444
Limited licence,REGIONAL BUS,935,473.91343536999466,0.4358974358974359,0.0,43.58974358974359
Limited licence,REGIONAL COACH,533,778.0763854681966,0.2964352720450281,0.0,29.643527204502814
Limited licence,REGIONAL TRAIN,53,520.3565309923721,0.4264705882352941,0.0,42.64705882352941
Limited licence,SKYBUS,11,141.21570075540575,1.0,0.0,100.0
On-premises,METRO BUS,1189,132.91506768576727,0.8570227081581161,0.5391084945332212,85.70227081581162
On-premises,METRO TRAIN,133,92.07806979547735,0.9562043795620438,0.656934306569343,95.62043795620438
On-premises,METRO TRAM,641,87.3586516617901,0.9828660436137072,0.7476635514018691,98.28660436137072
On-premises,REGIONAL BUS,286,261.65087790277033,0.6363636363636364,0.43356643356643354,63.63636363636363
On-premises,REGIONAL COACH,155,331.4560588181733,0.5419354838709678,0.3741935483870968,54.19354838709678
On-premises,REGIONAL TRAIN,33,173.39070301801274,0.7567567567567568,0.5135135135135135,75.67567567567568
On-premises,SKYBUS,37,90.93268531317085,0.918918918918919,0.7837837837837838,91.8918918918919
Packaged liquor,INTERSTATE TRAIN,1,239.35257158522265,1.0,0.0,100.0
Packaged liquor,METRO BUS,1472,106.21615588476442,0.951766304347826,0.0,95.17663043478261
Packaged liquor,METRO TRAIN,106,89.41288074019744,0.9905660377358491,0.0,99.05660377358491
Packaged liquor,METRO TRAM,265,78.71524127196777,0.9924528301886792,0.0,99.24528301886792
Packaged liquor,REGIONAL BUS,371,163.54472833018818,0.8471849865951743,0.0,84.71849865951742
Packaged liquor,REGIONAL COACH,211,191.72290625860347,0.7962085308056872,0.0,79.62085308056872
Packaged liquor,REGIONAL TRAIN,20,230.43004679072382,0.7391304347826086,0.0,73.91304347826086
Packaged liquor,SKYBUS,9,128.4479029337375,1.0,0.2222222222222222,100.0
Pre-retail,METRO BUS,79,299.2880933288931,0.6075949367088608,0.0,60.75949367088608
Pre-retail,METRO TRAM,13,134.21798533396637,0.9230769230769231,0.0,92.3076923076923
Pre-retail,REGIONAL BUS,11,8011.323798658939,0.09090909090909091,0.0,9.090909090909092
Pre-retail,REGIONAL COACH,5,2206.5037903047073,0.2,0.0,20.0
Pre-retail,REGIONAL TRAIN,2,2206.5037903047073,0.0,0.0,0.0
Producer,INTERSTATE TRAIN,1,261.37150118691164,1.0,0.0,100.0
Producer,METRO BUS,482,1233.3684181309623,0.3153526970954357,0.0,31.535269709543567
Producer,METRO TRAIN,9,207.16337009047572,0.7777777777777778,0.0,77.77777777777779
Producer,METRO TRAM,26,142.22998728943963,0.9615384615384616,0.0,96.15384615384616
Producer,REGIONAL BUS,378,3227.7120877535335,0.22486772486772486,0.0,22.486772486772484
Producer,REGIONAL COACH,275,3859.16007494907,0.18181818181818182,0.0,18.181818181818183
Producer,REGIONAL TRAIN,14,11156.019701283398,0.045454545454545456,0.0,4.545454545454546
Remote seller,METRO BUS,635,312.4754143831766,0.5968503937007874,0.0,59.68503937007874
Remote seller,METRO TRAIN,31,265.3679458103758,0.9032258064516129,0.0,90.32258064516128
Remote seller,METRO TRAM,130,153.40423835702597,0.9384615384615385,0.0,93.84615384615384
Remote seller,REGIONAL BUS,88,1999.0568143999187,0.20454545454545456,0.0,20.454545454545457
Remote seller,REGIONAL COACH,63,3465.2708546219537,0.07936507936507936,0.0,7.936507936507936
Remote seller,REGIONAL TRAIN,10,2174.524707128223,0.07692307692307693,0.0,7.6923076923076925
Remote seller,SKYBUS,1,94.76456487904466,1.0,0.0,100.0
Restaurant and cafe,INTERSTATE TRAIN,1,586.0207768069624,0.0,0.0,0.0
Restaurant and cafe,METRO BUS,3689,107.22102452130682,0.9522905936568176,0.3228517213336948,95.22905936568176
Restaurant and cafe,METRO TRAIN,477,91.1187768241171,0.9896049896049897,0.3201663201663202,98.96049896049897
Restaurant and cafe,METRO TRAM,1562,81.07450282951866,0.9955185659411011,0.41613316261203587,99.5518565941101
Restaurant and cafe,REGIONAL BUS,650,188.23872659104117,0.8338461538461538,0.3261538461538461,83.38461538461537
Restaurant and cafe,REGIONAL COACH,365,202.98073713165334,0.7780821917808219,0.2547945205479452,77.8082191780822
Restaurant and cafe,REGIONAL TRAIN,78,166.0703181765469,0.8928571428571429,0.39285714285714285,89.28571428571429
Restaurant and cafe,SKYBUS,68,98.84010100351657,1.0,0.39705882352941174,100.0
