sa2_code,sa2_name,region_type,active_venues_2023,active_venues_2025,venues_within_400m_pt_2023,total_venues_2023,access_rate_pct,venue_growth_rate_pct
206071139,Abbotsford,Metro,90,87,90,90,100.0,-3.3
210011226,Airport West,Metro,19,21,19,19,100.0,10.5
206051128,Albert Park,Metro,123,116,122,123,99.2,-5.7
206021110,Alphington - Fairfield,Metro,45,50,45,45,100.0,11.1
213021341,Altona,Metro,50,46,43,50,86.0,-8.0
213021342,Altona Meadows,Metro,12,12,12,12,100.0,0.0
213021343,Altona North,Metro,42,41,37,42,88.1,-2.4
213011328,Ardeer - Albion,Metro,18,16,16,18,88.9,-11.1
206061135,Armadale,Metro,75,67,75,75,100.0,-10.7
206031113,Ascot Vale,Metro,56,57,52,56,92.9,1.8
207011146,Ashburton (Vic.),Metro,23,25,22,23,95.7,8.7
212051319,Ashwood - Chadstone,Metro,34,36,31,34,91.2,5.9
210011533,Avondale Heights,Metro,13,10,13,13,100.0,-23.1
207011147,Balwyn,Metro,53,49,53,53,100.0,-7.5
207011148,Balwyn North,Metro,50,49,48,50,96.0,-2.0
211011251,Bayswater,Metro,44,48,39,44,88.6,9.1
211031263,Bayswater North,Metro,13,12,11,13,84.6,-7.7
212011546,Beaconsfield - Officer,Metro,39,39,32,39,82.1,0.0
208011168,Beaumaris,Metro,47,44,47,47,100.0,-6.4
211051274,Belgrave - Selby,Metro,40,41,36,40,90.0,2.5
208021174,Bentleigh - McKinnon,Metro,76,68,76,76,100.0,-10.5
208021426,Bentleigh East - North,Metro,41,35,41,41,100.0,-14.6
208021427,Bentleigh East - South,Metro,24,21,24,24,100.0,-12.5
212021293,Berwick - North,Metro,53,52,46,53,86.8,-1.9
207031161,Blackburn,Metro,42,45,41,42,97.6,7.1
207031162,Blackburn South,Metro,13,13,12,13,92.3,0.0
211011446,Boronia,Metro,48,49,47,48,97.9,2.1
207031163,Box Hill,Metro,119,113,119,119,100.0,-5.0
207031164,Box Hill North,Metro,17,14,17,17,100.0,-17.6
208031184,Braeside,Metro,24,27,23,24,95.8,12.5
213031347,Braybrook,Metro,49,52,45,49,91.8,6.1
208011169,Brighton (Vic.),Metro,136,132,131,136,96.3,-2.9
208011170,Brighton East,Metro,27,27,27,27,100.0,0.0
210051242,Broadmeadows,Metro,22,20,21,22,95.5,-9.1
206011495,Brunswick - North,Metro,76,73,76,76,100.0,-3.9
206011496,Brunswick - South,Metro,138,138,138,138,100.0,0.0
206011106,Brunswick East,Metro,79,83,79,79,100.0,5.1
206011107,Brunswick West,Metro,36,30,36,36,100.0,-16.7
207021156,Bulleen,Metro,22,21,16,22,72.7,-4.5
209011196,Bundoora - East,Metro,19,20,18,19,94.7,5.3
209041216,Bundoora - North,Metro,18,17,18,18,100.0,-5.6
209041217,Bundoora - West,Metro,13,13,13,13,100.0,0.0
212011547,Bunyip - Garfield,Metro,27,25,15,27,55.6,-7.4
207031165,Burwood (Vic.),Metro,26,23,25,26,96.2,-11.5
207031166,Burwood East,Metro,41,45,39,41,95.1,9.8
213011329,Cairnlea,Metro,11,9,11,11,100.0,-18.2
207011149,Camberwell,Metro,77,70,72,77,93.5,-9.1
210051243,Campbellfield - Coolaroo,Metro,36,32,26,36,72.2,-11.1
206041117,Carlton,Metro,178,177,178,178,100.0,-0.6
206071140,Carlton North - Princes Hill,Metro,60,56,60,60,100.0,-6.7
208021176,Carnegie,Metro,86,80,85,86,98.8,-7.0
208031185,Carrum - Patterson Lakes,Metro,34,35,34,34,100.0,2.9
214011370,Carrum Downs,Metro,27,30,25,27,92.6,11.1
208021177,Caulfield - North,Metro,52,42,52,52,100.0,-19.2
208021178,Caulfield - South,Metro,31,32,31,31,100.0,3.2
208031186,Chelsea - Bonbeach,Metro,39,36,34,39,87.2,-7.7
211051275,Chirnside Park,Metro,37,33,21,37,56.8,-10.8
212041309,Clarinda - Oakleigh South,Metro,10,9,8,10,80.0,-10.0
212051567,Clayton (North) - Notting Hill,Metro,50,44,49,50,98.0,-12.0
212051568,Clayton - Central,Metro,49,48,49,49,100.0,-2.0
212041310,Clayton South,Metro,17,17,14,17,82.4,0.0
206071145,Clifton Hill - Alphington,Metro,40,43,33,40,82.5,7.5
206011497,Coburg - East,Metro,62,67,62,62,100.0,8.1
206011498,Coburg - West,Metro,13,11,13,13,100.0,-15.4
210031236,Coburg North,Metro,27,27,26,27,96.3,0.0
206071141,Collingwood,Metro,141,144,141,141,100.0,2.1
210051441,Craigieburn - Central,Metro,12,13,12,12,100.0,8.3
210051442,Craigieburn - North,Metro,10,10,10,10,100.0,0.0
210051443,Craigieburn - South,Metro,14,14,12,14,85.7,0.0
210051543,Craigieburn - West,Metro,23,21,23,23,100.0,-8.7
212031300,Cranbourne,Metro,39,34,39,39,100.0,-12.8
212031557,Cranbourne East - North,Metro,14,13,14,14,100.0,-7.1
212031560,Cranbourne North - West,Metro,11,11,11,11,100.0,0.0
212031303,Cranbourne South,Metro,10,12,8,10,80.0,20.0
212031304,Cranbourne West,Metro,14,14,14,14,100.0,0.0
211031450,Croydon - East,Metro,47,49,46,47,97.9,4.3
211031451,Croydon - West,Metro,32,26,30,32,93.8,-18.8
211031265,Croydon Hills - Warranwood,Metro,14,12,13,14,92.9,-14.3
211031452,Croydon South,Metro,11,11,9,11,81.8,0.0
212041563,Dandenong - North,Metro,66,56,63,66,95.5,-15.2
