ranking_type,ranking_position,ranking_metric,sa2_code_2021,sa2_name_2021,venue_count,venue_count_per_10000_residents,share_within_400m_pt,access_share_pct,late_night_share,median_nearest_stop_distance_m,irsad_aus_decile,population_2025,population_density_denominator_status,metro_regional_majority
highest_density,1,venue_count_per_10000_residents,208031184,Braeside,29.0,10357.142857142859,0.8275862068965517,82.75862068965517,0.2413793103448276,226.98535061284167,,28.0,valid,Metro
highest_density,2,venue_count_per_10000_residents,210011227,Essendon Airport,8.0,5714.285714285714,0.875,87.5,0.25,205.64424725362917,,14.0,valid,Metro
highest_density,3,venue_count_per_10000_residents,210051248,Melbourne Airport,63.0,4846.153846153846,0.7777777777777778,77.77777777777779,0.6190476190476191,136.7858955319902,8.0,130.0,valid,Metro
highest_density,4,venue_count_per_10000_residents,208031192,Moorabbin Airport,8.0,3076.923076923077,0.75,75.0,0.0,161.9491854719601,,26.0,valid,Metro
highest_density,5,venue_count_per_10000_residents,206041120,Flemington Racecourse,11.0,1410.2564102564102,1.0,100.0,0.18181818181818182,105.7753128848532,10.0,78.0,valid,Metro
highest_density,6,venue_count_per_10000_residents,205051099,Alps - West,1.0,434.7826086956522,0.0,0.0,0.0,42000.5719601819,,23.0,valid,Regional
highest_density,7,venue_count_per_10000_residents,206041503,Melbourne CBD - East,590.0,413.57072760409363,1.0,100.0,0.6112,92.07806979547735,9.0,14266.0,valid,Metro
highest_density,8,venue_count_per_10000_residents,214021378,Flinders,160.0,263.85224274406335,0.0875,8.75,0.05,5232.567794105114,9.0,6064.0,valid,Metro
highest_density,9,venue_count_per_10000_residents,205031088,French Island,3.0,225.56390977443607,0.0,0.0,0.0,8891.502640584264,6.0,133.0,valid,Regional
highest_density,10,venue_count_per_10000_residents,204031069,Bright - Mount Beauty,186.0,207.2192513368984,0.34627831715210355,34.627831715210355,0.1650485436893204,1151.1066604797531,6.0,8976.0,valid,Regional
highest_density,11,venue_count_per_10000_residents,206071142,Fitzroy,236.0,194.47878038730943,1.0,100.0,0.5677966101694916,84.58280123306406,8.0,12135.0,valid,Metro
highest_density,12,venue_count_per_10000_residents,206051511,Port Melbourne Industrial,59.0,187.42058449809403,0.7796610169491526,77.96610169491525,0.2711864406779661,280.9807550979595,10.0,3148.0,valid,Metro
highest_density,13,venue_count_per_10000_residents,206041505,Melbourne CBD - West,396.0,178.67617199837565,1.0,100.0,0.5885286783042394,89.91232591253446,8.0,22163.0,valid,Metro
highest_density,14,venue_count_per_10000_residents,203021039,Geelong,244.0,177.8555288286318,0.8471760797342193,84.71760797342192,0.4019933554817276,171.40706338132298,6.0,13719.0,valid,Regional
highest_density,15,venue_count_per_10000_residents,206041508,Southbank (West) - South Wharf,124.0,152.67175572519082,0.9078947368421053,90.78947368421053,0.6513157894736842,199.3517057992493,10.0,8122.0,valid,Metro
lowest_density,1,venue_count_per_10000_residents,205031092,Wilsons Promontory,0.0,0.0,,,,,,15.0,valid,
lowest_density,2,venue_count_per_10000_residents,210051247,Meadow Heights,1.0,0.6738090425173506,1.0,100.0,0.0,60.75012826208311,1.0,14841.0,valid,Metro
lowest_density,3,venue_count_per_10000_residents,213041571,Brookfield,1.0,0.9376465072667604,0.0,0.0,0.0,1912.1361866478405,3.0,10665.0,valid,Regional
lowest_density,4,venue_count_per_10000_residents,213051584,Tarneit - North,2.0,1.2594458438287153,0.5,50.0,0.0,401.2532482948544,7.0,15880.0,valid,Metro
lowest_density,5,venue_count_per_10000_residents,213051579,Manor Lakes - Quandong,2.0,1.4633789419770251,0.5,50.0,0.0,1928.664646918699,7.0,13667.0,valid,Metro
lowest_density,6,venue_count_per_10000_residents,212021455,Narre Warren - North East,2.0,1.46864444118079,1.0,100.0,0.0,241.32695902493762,5.0,13618.0,valid,Metro
lowest_density,7,venue_count_per_10000_residents,209041431,Epping - East,2.0,1.4754703061600885,1.0,100.0,0.0,200.10875422994363,3.0,13555.0,valid,Metro
lowest_density,8,venue_count_per_10000_residents,213041462,Burnside Heights,1.0,1.552072016141549,0.0,0.0,0.0,699.9163738429088,6.0,6443.0,valid,Regional
lowest_density,9,venue_count_per_10000_residents,210051542,Craigieburn - North West,2.0,1.7710085893916585,1.0,100.0,0.0,101.4136347458321,5.0,11293.0,valid,Metro
lowest_density,10,venue_count_per_10000_residents,209041437,Wollert,7.0,1.9095422554421955,0.5714285714285714,57.14285714285714,0.2857142857142857,224.54409543170706,6.0,36658.0,valid,Metro
lowest_density,11,venue_count_per_10000_residents,213051582,Tarneit (West) - Mount Cottrell,4.0,2.0867024883927177,1.0,100.0,0.0,145.64309243120272,6.0,19169.0,valid,Metro
lowest_density,12,venue_count_per_10000_residents,212031561,Hampton Park - East,3.0,2.2399761069215263,1.0,100.0,0.3333333333333333,88.75674933631457,2.0,13393.0,valid,Metro
lowest_density,13,venue_count_per_10000_residents,212031458,Narre Warren South - West,4.0,2.3415091026166364,1.0,100.0,0.0,91.4565782565065,4.0,17083.0,valid,Metro
lowest_density,14,venue_count_per_10000_residents,209041528,Doreen - South,3.0,2.5110906503724784,1.0,100.0,0.0,47.28052206317503,7.0,11947.0,valid,Metro
lowest_density,15,venue_count_per_10000_residents,210051545,Roxburgh Park - North,4.0,2.5906735751295336,0.75,75.0,0.0,163.53620762124,2.0,15440.0,valid,Metro
highest_access,1,share_within_400m_pt,212051321,Glen Waverley - East,13.0,5.6967572304995615,1.0,100.0,0.07692307692307693,110.31841646781074,9.0,22820.0,valid,Metro
highest_access,2,share_within_400m_pt,213051585,Tarneit - South,4.0,3.3715441672285906,1.0,100.0,0.0,54.277004433635284,5.0,11864.0,valid,Metro
highest_access,3,share_within_400m_pt,212041312,Dandenong North,12.0,5.130178273695011,1.0,100.0,0.0,164.6183858427455,3.0,23391.0,valid,Metro
highest_access,4,share_within_400m_pt,210051442,Craigieburn - North,10.0,7.784524365561264,1.0,100.0,0.1,164.92582618293503,4.0,12846.0,valid,Metro
highest_access,5,share_within_400m_pt,210051542,Craigieburn - North West,2.0,1.7710085893916585,1.0,100.0,0.0,101.4136347458321,5.0,11293.0,valid,Metro
highest_access,6,share_within_400m_pt,210051543,Craigieburn - West,21.0,14.028056112224448,1.0,100.0,0.23809523809523808,134.26273598873584,4.0,14970.0,valid,Metro
highest_access,7,share_within_400m_pt,211011256,Rowville - Central,21.0,13.315579227696405,1.0,100.0,0.19047619047619047,168.24753012581888,7.0,15771.0,valid,Metro
highest_access,8,share_within_400m_pt,211011447,Ferntree Gully - North,22.0,15.132755537212821,1.0,100.0,0.13636363636363635,99.63029344451759,5.0,14538.0,valid,Metro
highest_access,9,share_within_400m_pt,211031268,Ringwood North,16.0,16.261815225124504,1.0,100.0,0.0625,181.4044997546826,9.0,9839.0,valid,Metro
highest_access,10,share_within_400m_pt,212041460,Noble Park - West,9.0,4.396033800615444,1.0,100.0,0.0,83.42531420279981,1.0,20473.0,valid,Metro
highest_access,11,share_within_400m_pt,211041269,Forest Hill,28.0,24.87562189054726,1.0,100.0,0.25,143.5636005801386,7.0,11256.0,valid,Metro
highest_access,12,share_within_400m_pt,211041272,Vermont,14.0,12.24311324879755,1.0,100.0,0.14285714285714285,100.48941653027723,8.0,11435.0,valid,Metro
highest_access,13,share_within_400m_pt,211051277,Kilsyth,7.0,6.546950991395435,1.0,100.0,0.14285714285714285,100.06353462882834,5.0,10692.0,valid,Metro
highest_access,14,share_within_400m_pt,212031562,Hampton Park - West,15.0,10.910677916787897,1.0,100.0,0.06666666666666667,110.16213385382511,2.0,13748.0,valid,Metro
highest_access,15,share_within_400m_pt,212011549,Pakenham - North East,6.0,3.615982643283312,1.0,100.0,0.5,71.499351116623,3.0,16593.0,valid,Metro
lowest_access,1,share_within_400m_pt,213041462,Burnside Heights,1.0,1.552072016141549,0.0,0.0,0.0,699.9163738429088,6.0,6443.0,valid,Regional
lowest_access,2,share_within_400m_pt,215031402,Kerang,17.0,44.92600422832981,0.0,0.0,0.23529411764705882,1051.4894015619006,2.0,3784.0,valid,Regional
lowest_access,3,share_within_400m_pt,205031088,French Island,3.0,225.56390977443607,0.0,0.0,0.0,8891.502640584264,6.0,133.0,valid,Regional
lowest_access,4,share_within_400m_pt,205051099,Alps - West,1.0,434.7826086956522,0.0,0.0,0.0,42000.5719601819,,23.0,valid,Regional
lowest_access,5,share_within_400m_pt,204011061,Upper Yarra Valley,2.0,84.7457627118644,0.0,0.0,0.0,8950.025026079464,2.0,236.0,valid,Metro
lowest_access,6,share_within_400m_pt,205011077,Mount Baw Baw Region,42.0,62.22222222222222,0.0,0.0,0.07142857142857142,25417.571083586008,5.0,6750.0,valid,Regional
lowest_access,7,share_within_400m_pt,214011376,Skye - Sandhurst,7.0,5.146680391147711,0.0,0.0,0.14285714285714285,1499.6327655576408,7.0,13601.0,valid,Metro
lowest_access,8,share_within_400m_pt,209031212,Panton Hill - St Andrews,17.0,33.13840155945419,0.0,0.0,0.11764705882352941,8827.822913622498,9.0,5130.0,valid,Metro
lowest_access,9,share_within_400m_pt,203011036,Winchelsea,39.0,55.09252719310637,0.0,0.0,0.07272727272727272,13543.72373335899,7.0,7079.0,valid,Regional
lowest_access,10,share_within_400m_pt,213041571,Brookfield,1.0,0.9376465072667604,0.0,0.0,0.0,1912.1361866478405,3.0,10665.0,valid,Regional
lowest_access,11,share_within_400m_pt,202021026,Bendigo Surrounds - South,26.0,28.590279305036287,0.05714285714285714,5.714285714285714,0.11428571428571428,3871.2597537813326,7.0,9094.0,valid,Regional
