horizon_years,horizon_label,outcome_year,metro_regional,proximity,cohort_count,survived_count,survival_rate_pct
1,1 year,2023,Metro,Further than 400 m,1215,952,78.4
1,1 year,2023,Metro,Within 400 m of a stop,14758,12138,82.2
1,1 year,2023,Regional,Further than 400 m,2693,2323,86.3
1,1 year,2023,Regional,Within 400 m of a stop,5134,4552,88.7
2,2 years,2024,Metro,Further than 400 m,1215,931,76.6
2,2 years,2024,Metro,Within 400 m of a stop,14758,11982,81.2
2,2 years,2024,Regional,Further than 400 m,2693,2296,85.3
2,2 years,2024,Regional,Within 400 m of a stop,5134,4504,87.7
3,3 years,2025,Metro,Further than 400 m,1215,876,72.1
3,3 years,2025,Metro,Within 400 m of a stop,14758,10785,73.1
3,3 years,2025,Regional,Further than 400 m,2693,2155,80.0
3,3 years,2025,Regional,Within 400 m of a stop,5134,4198,81.8
