date,mode,trips_millions
2018-01-01,Bus,7.57
2018-02-01,Bus,10.49
2018-03-01,Bus,11.53
2018-04-01,Bus,9.59
2018-05-01,Bus,11.26
2018-06-01,Bus,9.53
2018-07-01,Bus,9.66
2018-08-01,Bus,11.76
2018-09-01,Bus,9.88
2018-10-01,Bus,11.23
2018-11-01,Bus,10.37
2018-12-01,Bus,7.94
2019-01-01,Bus,7.85
2019-02-01,Bus,10.11
2019-03-01,Bus,11.78
2019-04-01,Bus,9.67
2019-05-01,Bus,12.08
2019-06-01,Bus,9.52
2019-07-01,Bus,10.42
2019-08-01,Bus,11.49
2019-09-01,Bus,10.24
2019-10-01,Bus,11.29
2019-11-01,Bus,10.41
2019-12-01,Bus,8.86
2020-01-01,Bus,8.37
2020-02-01,Bus,10.41
2020-03-01,Bus,7.6
2020-04-01,Bus,1.51
2020-05-01,Bus,2.54
2020-06-01,Bus,4.75
2020-07-01,Bus,3.17
2020-08-01,Bus,1.79
2020-09-01,Bus,2.04
2020-10-01,Bus,3.77
2020-11-01,Bus,5.8
2020-12-01,Bus,5.89
2021-01-01,Bus,4.81
2021-02-01,Bus,5.62
2021-03-01,Bus,7.65
2021-04-01,Bus,6.63
2021-05-01,Bus,6.96
2021-06-01,Bus,4.45
2021-07-01,Bus,4.72
2021-08-01,Bus,3.1
2021-09-01,Bus,2.41
2021-10-01,Bus,3.44
2021-11-01,Bus,6.45
2021-12-01,Bus,5.91
2022-01-01,Bus,4.12
2022-02-01,Bus,6.21
2022-03-01,Bus,8.48
2022-04-01,Bus,6.87
2022-05-01,Bus,7.78
2022-06-01,Bus,6.94
2022-07-01,Bus,7.33
2022-08-01,Bus,8.34
2022-09-01,Bus,7.47
2022-10-01,Bus,8.16
2022-11-01,Bus,8.31
2022-12-01,Bus,7.43
2023-01-01,Bus,7.09
2023-02-01,Bus,8.61
2023-03-01,Bus,10.3
2023-04-01,Bus,8.12
2023-05-01,Bus,9.85
2023-06-01,Bus,8.64
2023-07-01,Bus,9.22
2023-08-01,Bus,10.3
2023-09-01,Bus,9.26
2023-10-01,Bus,10.08
2023-11-01,Bus,9.87
2023-12-01,Bus,8.55
2024-01-01,Bus,8.34
2024-02-01,Bus,10.44
2024-03-01,Bus,10.6
2024-04-01,Bus,9.27
2024-05-01,Bus,10.26
2024-06-01,Bus,8.71
2024-07-01,Bus,9.83
2024-08-01,Bus,10.74
2024-09-01,Bus,9.19
2024-10-01,Bus,10.56
2024-11-01,Bus,9.32
