sa2_code_2021,sa2_name_2021,venue_count,median_nearest_stop_distance_m,share_within_400m_pt,late_night_share,after_11pm_share,median_maximum_capacity,median_stops_within_200m,median_stops_within_400m,median_stops_within_800m,metro_regional_majority,category_restaurant_cafe_count,category_general_count,category_on_premises_count,category_packaged_liquor_count,category_limited_count,urp,irsad_score,irsad_aus_decile,irsd_score,ieo_score,ier_score,population_2025,population_density_denominator_status,venue_count_per_10000_residents,access_share_pct,seifa_decile_group,density_rank_valid_only,access_rank_valid_only
204031073,West Wodonga,17.0,118.49299016326965,0.8333333333333334,0.16666666666666666,0.16666666666666666,600.0,1.0,1.0,3.5,Regional,0.0,3.0,1.0,4.0,6.0,15396.0,930.8791209999999,3.0,961.2491877,924.4952788999999,973.1565485000001,15495.0,valid,10.971281058405939,83.33333333333334,low_1_3,414,275
204031075,Yackandandah,21.0,574.8365368035995,0.42857142857142855,0.19047619047619047,0.19047619047619047,157.0,0.0,0.0,1.0,Regional,2.0,3.0,0.0,2.0,4.0,5221.0,1032.317063,7.0,1068.40776,1025.870031,1069.405378,5498.0,valid,38.195707530010914,42.857142857142854,middle_4_7,164,457
204031491,Baranduda - Leneva,12.0,977.2950768823725,0.3333333333333333,0.16666666666666666,0.16666666666666666,285.0,0.0,0.0,0.0,Regional,1.0,1.0,2.0,4.0,2.0,12778.0,1025.05583,7.0,1054.1833629999999,1015.772207,1070.977337,14578.0,valid,8.23158183564275,33.33333333333333,middle_4_7,434,478
204031492,Wodonga,59.0,180.32465420315572,0.847457627118644,0.22033898305084745,0.22033898305084745,159.5,1.0,2.0,8.0,Regional,16.0,4.0,4.0,10.0,10.0,15082.0,900.4868431,2.0,919.6584493,917.8869083999999,914.9598983,14644.0,valid,40.289538377492484,84.7457627118644,low_1_3,155,263
205031089,Korumburra,46.0,196.2777848545441,0.6363636363636364,0.2,0.2,102.0,1.0,2.0,2.0,Regional,6.0,8.0,3.0,4.0,13.0,9842.0,966.4582334,4.0,1006.426306,952.51181,1025.915024,10007.0,valid,45.967822524233036,63.63636363636363,middle_4_7,127,379
205031090,Leongatha,44.0,358.43786458860677,0.55,0.15,0.15,150.0,0.0,1.0,2.0,Regional,5.0,5.0,3.0,6.0,9.0,11502.0,962.5070870999999,4.0,998.4678305,961.8497921,1003.757931,11699.0,valid,37.61005214120865,55.00000000000001,middle_4_7,170,414
205031091,Phillip Island,105.0,401.2290551373392,0.4838709677419355,0.1693548387096774,0.1693548387096774,157.0,0.0,0.0,3.0,Regional,28.0,12.0,20.0,8.0,23.0,13799.0,970.6076493,4.0,1005.380808,980.3790028,996.7594327,14795.0,valid,70.96992227103752,48.38709677419355,middle_4_7,56,437
205031092,Wilsons Promontory,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,1119.0547769999998,,15.0,valid,0.0,,,517,
205031093,Wonthaggi - Inverloch,104.0,262.9529825069618,0.6433566433566433,0.1958041958041958,0.1958041958041958,124.0,0.0,2.0,4.0,Regional,20.0,13.0,10.0,12.0,23.0,26792.0,950.4748959,4.0,985.9433531,951.9451605,989.5136598,29333.0,valid,35.454948351685815,64.33566433566433,middle_4_7,189,373
205041094,Churchill,22.0,394.45030210670836,0.5,0.22727272727272727,0.22727272727272727,210.0,0.0,0.5,2.0,Regional,1.0,4.0,1.0,2.0,7.0,11912.0,941.9113001,3.0,974.3436586,932.8936403,993.9721025,12325.0,valid,17.849898580121703,50.0,low_1_3,332,425
