Longitude,Latitude,MODE
144.98222,-37.88212,SKYBUS
144.98194,-37.86373,SKYBUS
144.99328,-37.9041,SKYBUS
145.0362,-37.93461,SKYBUS
144.83322,-37.78743,SKYBUS
145.12499,-37.78402,SKYBUS
145.12214,-37.81983,SKYBUS
144.99562,-37.89178,SKYBUS
145.00317,-37.90554,SKYBUS
145.08415,-37.7109,SKYBUS
145.05319,-37.9578,SKYBUS
145.12624,-38.14412,SKYBUS
144.9519,-37.81628,SKYBUS
144.95254,-37.81646,SKYBUS
144.95172,-37.81604,SKYBUS
144.99316,-37.90392,SKYBUS
145.00208,-37.90551,SKYBUS
144.99547,-37.89173,SKYBUS
145.0003,-37.88511,SKYBUS
144.47343,-38.02635,SKYBUS
144.47343,-38.02635,SKYBUS
145.11621,-38.05194,SKYBUS
144.85068,-37.66933,SKYBUS
144.84874,-37.67094,SKYBUS
144.84914,-37.67232,SKYBUS
145.12158,-38.14235,SKYBUS
145.03702,-37.93676,SKYBUS
144.6643,-37.90114,SKYBUS
144.66452,-37.90135,SKYBUS
145.00029,-37.8849,SKYBUS
144.98304,-37.88232,SKYBUS
144.9816,-37.86455,SKYBUS
145.06904,-37.98172,SKYBUS
145.06913,-37.98184,SKYBUS
144.95217,-37.81816,INTERSTATE TRAIN
142.93691,-37.2822,INTERSTATE TRAIN
144.36532,-38.09838,INTERSTATE TRAIN
141.65389,-36.33222,INTERSTATE TRAIN
142.03246,-36.45418,INTERSTATE TRAIN
142.20056,-36.7075,INTERSTATE TRAIN
142.77354,-37.05924,INTERSTATE TRAIN
142.93691,-37.28224,INTERSTATE TRAIN
142.03246,-36.45418,INTERSTATE TRAIN
142.20056,-36.7075,INTERSTATE TRAIN
141.65389,-36.33222,INTERSTATE TRAIN
144.36532,-38.09838,INTERSTATE TRAIN
144.95278,-37.81866,INTERSTATE TRAIN
142.77389,-37.06,INTERSTATE TRAIN
145.45671,-38.06235,REGIONAL BUS
144.73661,-37.27812,REGIONAL BUS
144.73681,-37.27805,REGIONAL BUS
144.74281,-37.35009,REGIONAL BUS
144.74304,-37.35012,REGIONAL BUS
144.71185,-36.92741,REGIONAL BUS
144.7123,-36.92747,REGIONAL BUS
144.75611,-36.11428,REGIONAL BUS
144.1312,-35.64357,REGIONAL BUS
144.30112,-35.90364,REGIONAL BUS
144.3688,-35.95629,REGIONAL BUS
144.3688,-35.95598,REGIONAL BUS
144.51657,-36.02893,REGIONAL BUS
