venue_category_group,Latitude,Longitude,metro_regional_label,sa2_code_2021,nearest_stop_distance_m,distance_band,distance_band_order,access_class,late_night_flag
BYO permit,-37.1463,146.45228,Regional,204011057,35594.4,800m+,4,low_access_800m_plus,False
BYO permit,-36.86488,147.27841,Regional,204031069,21956.8,800m+,4,low_access_800m_plus,False
BYO permit,-36.86488,147.27841,Regional,204031069,21956.8,800m+,4,low_access_800m_plus,False
BYO permit,-37.14696,146.45465,Regional,204011057,35828.0,800m+,4,low_access_800m_plus,False
BYO permit,-37.8723,145.0232,Metro,208021177,142.5,0-200m,1,high_access_0_400m,False
BYO permit,-37.79734,145.09383,Metro,207011148,518.8,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.14701,146.45289,Regional,204011057,35636.9,800m+,4,low_access_800m_plus,False
BYO permit,-37.14672,146.45046,Regional,204011057,35384.5,800m+,4,low_access_800m_plus,False
BYO permit,-37.08334,146.24405,Regional,204011057,15422.3,800m+,4,low_access_800m_plus,False
BYO permit,-36.98654,147.14991,Regional,204031069,793.2,400-800m,3,moderate_access_400_800m,False
BYO permit,-38.31068,145.19686,Metro,214021379,720.9,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.14852,146.44526,Regional,204011057,34761.0,800m+,4,low_access_800m_plus,False
BYO permit,-37.9643,145.18743,Metro,212041459,331.5,200-400m,2,high_access_0_400m,False
BYO permit,-38.17266,145.08209,Metro,214021381,1337.9,800m+,4,low_access_800m_plus,False
BYO permit,-37.65492,145.38011,Metro,211051276,452.3,400-800m,3,moderate_access_400_800m,False
BYO permit,-37.14744,146.45493,Regional,204011057,35842.4,800m+,4,low_access_800m_plus,False
BYO permit,-36.8648,147.27952,Regional,204031069,22020.7,800m+,4,low_access_800m_plus,False
BYO permit,-36.8648,147.27952,Regional,204031069,22020.7,800m+,4,low_access_800m_plus,False
BYO permit,-37.14692,146.45244,Regional,204011057,35591.4,800m+,4,low_access_800m_plus,False
BYO permit,-37.90912,145.35651,Metro,211051274,134.1,0-200m,1,high_access_0_400m,False
